["Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.5279.40 Mobile Safari/537.36",",
"Mozilla/5.0 (Linux; Android 10; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.4737.47 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.3157.33 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.5466.50 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/72.0.3109.98 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/104.0.5410.20 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.3070.26 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.4665.62 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.5568.79 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 14; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.3496.71 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/90.0.4558.35 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.3244.71 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/52.0.5028.79 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.5810.74 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/110.0.3293.79 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.4373.37 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.3905.41 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3462.81 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.5706.40 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/52.0.4711.76 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5272.65 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/82.0.4930.46 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/44.0.3626.38 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/59.0.4925.74 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/102.0.4695.93 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.5226.26 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/102.0.5519.42 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/77.0.5982.58 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/112.0.4549.77 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.3068.78 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.4877.50 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/110.0.5154.25 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 14; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/81.0.3200.39 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.3592.96 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/54.0.4372.56 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 14; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3987.24 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 14; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/52.0.5760.80 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/68.0.5803.63 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/56.0.4876.91 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.5555.88 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.4627.84 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.3203.48 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/49.0.3114.39 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4313.98 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/102.0.3367.94 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5102.74 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/68.0.3708.40 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.3386.69 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/68.0.4339.63 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.4506.42 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.4851.60 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.5447.79 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/67.0.3584.69 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.5029.34 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5580.74 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/81.0.3264.52 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.3286.86 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/65.0.3533.52 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.4582.89 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/74.0.3678.40 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/56.0.3243.69 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.5384.88 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3565.24 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.5306.24 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.5084.90 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/77.0.4868.82 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5415.77 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 14; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/87.0.3218.72 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4223.85 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.5826.24 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.4381.56 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.3090.20 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/49.0.4441.83 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/72.0.4060.31 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3207.25 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.3500.65 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/102.0.4571.79 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/75.0.4636.70 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.3228.37 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 14; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/42.0.3632.61 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/52.0.3846.33 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4226.28 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/72.0.3892.88 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/72.0.3704.99 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.3157.94 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.4531.78 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/84.0.4107.40 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.4041.79 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.4637.84 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.4766.27 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/67.0.5785.68 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.4742.44 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/49.0.4731.99 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/52.0.4384.93 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/50.0.3793.67 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/77.0.4756.30 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5566.89 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.3960.71 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3011.34 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4629.91 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4266.65 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.3255.66 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.5232.20 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.3245.38 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.4956.84 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3866.40 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.3530.52 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/102.0.5881.66 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 14; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.3656.82 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/44.0.4659.28 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.4420.58 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.5777.31 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.5027.51 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/54.0.5249.21 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/73.0.3931.57 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/52.0.5262.72 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 10; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.4116.58 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.3687.55 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/59.0.3880.85 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.4043.71 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.3309.64 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/75.0.3422.64 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 9; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.4393.53 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3760.41 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3702.36 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.5868.75 Mobile Safari/537.36",
